common_name,wave1,wave2,wave3,wave4_main,wave4_alt,wave4_miss,wave5_main,wave5_alt,wave5_miss,wave6_main,wave6_alt,wave6_miss,wave7_main,wave7_alt,wave7_miss,rq_recode,rq_cal,drop_after_step,label,class,memo
youkaigodo,,,,,,,,,,j6v188,J6P086,,,,,,,,要介護認定の結果,43473,
use_homehelp,,,,,,,J5V221,J5P082,,j6v189,J6P087,,,,,,,,1週間にホームヘルパーを利用した回数(同居家族による利用もカウント),,
use_shortstay,,,,,,,J5V222,J5P083,,j6v191,J6P089,,,,,,,,3ヶ月でショートステイを利用した回数(本人による利用のみカウント),,
use_dayservice,,,,,,,J5V223,J5P084,,j6v190,J6P088,,,,,,,,1週間でデイサービスを移用した回数(本人による利用のみカウント),,
sp_use_dayservice,,,,,,,,,,j6v375,,,,,,,,,,,
sp_use_shortstay,,,,,,,,,,j6v376,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
adl_sq1,,,,J4V189,,,J5V224,J5P085,,j6v192,J6P090,,,,,,,,ADL(1) お風呂に入る,1-5,
adl_sq2,,,,J4V190,,,J5V225,J5P086,,j6v193,J6P091,,,,,,,,ADL(2) 衣服を着たり脱いだりする,1-5,
adl_sq3,,,,J4V191,,,J5V226,J5P087,,j6v194,J6P092,,,,,,,,ADL(3) 食べる,1-5,
adl_sq4,,,,J4V192,,,J5V227,J5P088,,j6v195,J6P093,,,,,,,,ADL(4) 起き上がる・立ち上がる,1-5,
adl_sq5,,,,J4V193,,,J5V228,J5P089,,j6v196,J6P094,,,,,,,,ADL(5) 外に出かける,1-5,
adl_sq6,,,,J4V194,,,J5V229,J5P090,,j6v197,J6P095,,,,,,,,ADL(6) トイレで用をたす,1-5,
iadl_sq1,,,,J4V195,,,J5V231,J5P091,,j6v199,J6P097,,,,,,,,IADL(1) 買い物へ行く,1-5,
iadl_sq2,,,,J4V196,,,J5V232,J5P092,,j6v200,J6P098,,,,,,,,IADL(2) 電話をかける,1-5,
iadl_sq3,,,,J4V197,,,J5V233,J5P093,,j6v201,J6P099,,,,,,,,IADL(3) バスや電車で出かける,1-5,
iadl_sq4,,,,J4V198,,,J5V234,J5P094,,j6v202,J6P100,,,,,,,,IADL(4) 掃除など軽い家事をする,1-5,
ability_sq1,,,,J4V213,,,J5V240,J5P095,,j6v208,J6P109,,,,,,,,身体能力(1) 15分くらい立ち続ける,1-5,
ability_sq2,,,,J4V214,,,J5V241,J5P096,,j6v209,J6P110,,,,,,,,身体能力(2) 200〜300mくらい歩く,1-5,
ability_sq3,,,,J4V215,,,J5V242,J5P097,,j6v210,J6P111,,,,,,,,身体能力(3) しゃがんだりひざまづいたりする,1-5,
ability_sq4,,,,J4V216,,,J5V243,J5P098,,j6v211,J6P112,,,,,,,,身体能力(4) 頭よりも高いところにあるものに手を伸ばす,1-5,
ability_sq5,,,,J4V217,,,J5V244,J5P099,,j6v212,J6P113,,,,,,,,身体能力(5) 指でものをつかむ、指を自由に使う,1-5,
ability_sq6,,,,J4V218,,,J5V245,J5P100,,j6v213,J6P114,,,,,,,,身体能力(6) 米10kg程度のものを持ち上げたり運んだりする,1-5,
ability_sq7,,,,J4V219,,,J5V246,J5P101,,j6v214,J6P115,,,,,,,,身体能力(7) 階段を2〜3段昇る,1-5,
is_helped_adl,,,,J4V209,,,J5V230,,,j6v198,J6P096,,,,,,,,この3ヶ月でADLの手助けをしてくれた人がいるか,43467,Wave5では1-5
is_helped_iadl,,,,,,,J5V235,,,j6v203,J6P101,,,,,,,,この3ヶ月でIADLの手助けをしてくれた人がいるか,43470,
freq_helped_adl,,,,J4V210,,,,,,,,,,,,,,,ADLの手助けをしてもらう頻度,1(ほとんどいつも) - 3(まれに),
who_helped_adl_1,,,,J4V211,,,,,,,,,,,,,,,ADLの手助けをしてくれる人(1番多い人),1-14(アフターコード),
who_helped_adl_2,,,,J4V212,,,,,,,,,,,,,,,ADLの手助けをしてくれる人(2番目に多い人),1-14(アフターコード),
who_helped_1,,,,,,,J5V236,,,j6v204,J6P103,,,,,,,,ADLやIADLの手助けをしてくれる人(1番多い人),アフターコード,is_helped_adl==1-3|i_helped_iadl==1-3
who_helped_1_ch_id,,,,,,,J5V237,,,j6v205,J6P104,,,,,,,,who_helped_1が子どもかその配偶者なら、何番目の子どもか,,
who_helped_2,,,,,,,J5V238,,,j6v206,J6P106,,,,,,,,ADLやIADLの手助けをしてくれる人(2番目に多い人),アフターコード,
who_helped_2_ch_id,,,,,,,J5V239,,,j6v207,J6P107,,,,,,,,who_helped_2が子どもかその配偶者なら、何番目の子どもか,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
sp_adl_1,,,,,,,,,,j6v365,,,,,,,,,配偶者のADL(1) お風呂に入る,43470,
sp_adl_2,,,,,,,,,,j6v366,,,,,,,,,配偶者のADL(2) 衣服を着たり脱いだりする,43470,
sp_adl_3,,,,,,,,,,j6v367,,,,,,,,,配偶者のADL(3) 食べる,43470,
sp_adl_4,,,,,,,,,,j6v368,,,,,,,,,配偶者のADL(4) ベッドから起き上がる・椅子から立ち上がる,43470,
sp_adl_5,,,,,,,,,,j6v369,,,,,,,,,配偶者のADL(5) 外に出かける,43470,
sp_adl_6,,,,,,,,,,j6v370,,,,,,,,,配偶者のADL(6) トイレで用をたす,43470,
sp_iadl_1,,,,,,,,,,j6v371,,,,,,,,,配偶者のIADL(1) 買い物へ行く,43470,
sp_iadl_2,,,,,,,,,,j6v372,,,,,,,,,配偶者のIADL(2) 電話をかける,43470,
sp_iadl_3,,,,,,,,,,j6v373,,,,,,,,,配偶者のIADL(3) バスや電車で出かける,43470,
sp_iadl_4,,,,,,,,,,j6v374,,,,,,,,,配偶者のIADL(4) 掃除など軽い家事をする,43470,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
num_child,,,,,,,J5V050,,,j6v035,J6P028,,,J7P028,,,,,健在の子ども数(養子は含むが嫁婿は含まない),,
ch_1_sex,,,,,,,J5V051,,,j6v036,,,,J7P029,,,,,,,
ch_1_age,,,,,,,J5V052,,,j6v037,,,,,,,,,,,
ch_1_married,,,,,,,J5V053,,,j6v038,,,,,,,,,,,
ch_1_working,,,,,,,J5V054,,,j6v039,,,,,,,,,,,
ch_1_dist_living,,,,,,,J5V055,,,j6v040,,,,,,,,,,,
ch_1_school,,,,,,,J5V056,,,,,,,,,,,,,,
ch_2_sex,,,,,,,J5V057,,,j6v041,,,,,,,,,,,
ch_2_age,,,,,,,J5V058,,,j6v042,,,,,,,,,,,
ch_2_married,,,,,,,J5V059,,,j6v043,,,,,,,,,,,
ch_2_working,,,,,,,J5V060,,,j6v044,,,,,,,,,,,
ch_2_dist_living,,,,,,,J5V061,,,j6v045,,,,,,,,,,,
ch_2_school,,,,,,,J5V062,,,,,,,,,,,,,,
ch_3_sex,,,,,,,J5V063,,,j6v046,,,,,,,,,,,
ch_3_age,,,,,,,J5V064,,,j6v047,,,,,,,,,,,
ch_3_married,,,,,,,J5V065,,,j6v048,,,,,,,,,,,
ch_3_working,,,,,,,J5V066,,,j6v049,,,,,,,,,,,
ch_3_dist_living,,,,,,,J5V067,,,j6v050,,,,,,,,,,,
ch_3_school,,,,,,,J5V068,,,,,,,,,,,,,,
ch_4_sex,,,,,,,J5V069,,,j6v051,,,,,,,,,,,
ch_4_age,,,,,,,J5V070,,,j6v052,,,,,,,,,,,
ch_4_married,,,,,,,J5V071,,,j6v053,,,,,,,,,,,
ch_4_working,,,,,,,J5V072,,,j6v054,,,,,,,,,,,
ch_4_dist_living,,,,,,,J5V073,,,j6v055,,,,,,,,,,,
ch_4_school,,,,,,,J5V074,,,,,,,,,,,,,,
ch_5_sex,,,,,,,J5V075,,,j6v056,,,,,,,,,,,
ch_5_age,,,,,,,J5V076,,,j6v057,,,,,,,,,,,
ch_5_married,,,,,,,J5V077,,,j6v058,,,,,,,,,,,
ch_5_working,,,,,,,J5V078,,,j6v059,,,,,,,,,,,
ch_5_dist_living,,,,,,,J5V079,,,j6v060,,,,,,,,,,,
ch_5_school,,,,,,,J5V080,,,,,,,,,,,,,,
ch_6_sex,,,,,,,J5V081,,,j6v061,,,,,,,,,,,
ch_6_age,,,,,,,J5V082,,,j6v062,,,,,,,,,,,
ch_6_married,,,,,,,J5V083,,,j6v063,,,,,,,,,,,
ch_6_working,,,,,,,J5V084,,,j6v064,,,,,,,,,,,
ch_6_dist_living,,,,,,,J5V085,,,j6v065,,,,,,,,,,,
ch_6_school,,,,,,,J5V086,,,,,,,,,,,,,,
ch_7_sex,,,,,,,J5V087,,,j6v066,,,,,,,,,,,
ch_7_age,,,,,,,J5V088,,,j6v067,,,,,,,,,,,
ch_7_married,,,,,,,J5V089,,,j6v068,,,,,,,,,,,
ch_7_working,,,,,,,J5V090,,,j6v069,,,,,,,,,,,
ch_7_dist_living,,,,,,,J5V091,,,j6v070,,,,,,,,,,,
ch_7_school,,,,,,,J5V092,,,,,,,,,,,,,,
ch_8_sex,,,,,,,J5V093,,,j6v071,,,,,,,,,,,
ch_8_age,,,,,,,J5V094,,,j6v072,,,,,,,,,,,
ch_8_married,,,,,,,J5V095,,,j6v073,,,,,,,,,,,
ch_8_working,,,,,,,J5V096,,,j6v074,,,,,,,,,,,
ch_8_dist_living,,,,,,,J5V097,,,j6v075,,,,,,,,,,,
ch_8_school,,,,,,,J5V098,,,,,,,,,,,,,,
ch_9_sex,,,,,,,J5V099,,,j6v076,,,,,,,,,,,
ch_9_age,,,,,,,J5V100,,,j6v077,,,,,,,,,,,
ch_9_married,,,,,,,J5V101,,,j6v078,,,,,,,,,,,
ch_9_working,,,,,,,J5V102,,,j6v079,,,,,,,,,,,
ch_9_dist_living,,,,,,,J5V103,,,j6v080,,,,,,,,,,,
ch_9_school,,,,,,,J5V104,,,,,,,,,,,,,,
ch_10_sex,,,,,,,J5V105,,,j6v081,,,,,,,,,,,
ch_10_age,,,,,,,J5V106,,,j6v082,,,,,,,,,,,
ch_10_married,,,,,,,J5V107,,,j6v083,,,,,,,,,,,
ch_10_working,,,,,,,J5V108,,,j6v084,,,,,,,,,,,
ch_10_dist_living,,,,,,,J5V109,,,j6v085,,,,,,,,,,,
ch_10_school,,,,,,,J5V110,,,,,,,,,,,,,,
ch_11_sex,,,,,,,J5V111,,,j6v086,,,,,,,,,,,
ch_11_age,,,,,,,J5V112,,,j6v087,,,,,,,,,,,
ch_11_married,,,,,,,J5V113,,,j6v088,,,,,,,,,,,
ch_11_working,,,,,,,J5V114,,,j6v089,,,,,,,,,,,
ch_11_dist_living,,,,,,,J5V115,,,j6v090,,,,,,,,,,,
ch_11_school,,,,,,,J5V116,,,,,,,,,,,,,,
